PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Annuler",,"AppData",,"All",,"Bing",,""
"Today",,"Aujourd’hui",,"AppData",,"All",,"Bing",,""
"There\'s something wrong. Try again later",,"Un problème est survenu. Réessayez plus tard.",,"AppData",,"All",,"Bing",,""
"Background",,"Arrière-plan",,"AppData",,"All",,"Bing",,""
"We\'re sorry but we can\'t open this image. Please try again or select other images.",,"Désolé, il est impossible d’ouvrir cette image. Réessayez ou sélectionnez d’autres images.",,"AppData",,"All",,"Bing",,""
"There are no directions from point A to point B. Because they\'re the same location. Try changing one of them.",,"Aucun itinéraire n’est disponible entre le point A et le point B, car ils indiquent un même emplacement. Modifiez un des points.",,"AppData",,"All",,"Bing",,""
"Please write down any suggestion that you think we should know.",,"Veuillez saisir les suggestions que vous aimeriez nous faire parvenir.",,"AppData",,"All",,"Bing",,""
"Delete cached images and files",,"Supprimer les images et fichiers en cache",,"AppData",,"All",,"Bing",,""
"Sign in with another account?",,"Se connecter avec un autre compte ?",,"AppData",,"All",,"Bing",,""
"Hi, there",,"Bonjour,",,"AppData",,"All",,"Bing",,""
"Applying changes…",,"Application des modifications",,"AppData",,"All",,"Bing",,""
"Signing in to Bing has benefits!",,"La connexion à Bing présente des avantages !",,"AppData",,"All",,"Bing",,""
"Back to safety",,"Retour à la sécurité",,"AppData",,"All",,"Bing",,""
"Bookmark delete",,"Supprimer le signet",,"AppData",,"All",,"Bing",,""
"Ukrainian",,"Ukrainien",,"AppData",,"All",,"Bing",,""
"Share web page - from Bing Search app",,"Partager une page Web - à partir de l’application de recherche Bing",,"AppData",,"All",,"Bing",,""
"Loading…",,"Chargement…",,"AppData",,"All",,"Bing",,""
"Wind:",,"Vent :",,"AppData",,"All",,"Bing",,""
"Initialize failed, please try again later.",,"Échec d’initialisation, réessayez ultérieurement.",,"AppData",,"All",,"Bing",,""
"Signing in…",,"Connexion...",,"AppData",,"All",,"Bing",,""
"Reset",,"Réinitialiser",,"AppData",,"All",,"Bing",,""
"Sorry, something went wrong. Please try again later.",,"Un problème est survenu. Réessayez ultérieurement.",,"AppData",,"All",,"Bing",,""
"Shared via Bing Search",,"Partagé via la recherche Bing",,"AppData",,"All",,"Bing",,""
"Backward",,"Arrière",,"AppData",,"All",,"Bing",,""
"User Reviews",,"Avis des utilisateurs",,"AppData",,"All",,"Bing",,""
"Delete",,"Supprimer",,"AppData",,"All",,"Bing",,""
"Something went wrong, please try again later.",,"Un problème est survenu, réessayez ultérieurement.",,"AppData",,"All",,"Bing",,""
"Please select Bing search as default assistant in Assist &amp; voice input",,"Sélectionnez la recherche Bing comme assistant par défaut dans Assistance et entrée vocale",,"AppData",,"All",,"Bing",,""
"Reviews",,"Avis",,"AppData",,"All",,"Bing",,""
"Suggestion",,"Suggestion",,"AppData",,"All",,"Bing",,""
"Hours may vary",,"Les horaires peuvent varier",,"AppData",,"All",,"Bing",,""
"*Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs.",,"*Le pourcentage des apports journaliers est calculé par rapport à une consommation de 2 000 kcal. Ces apports peuvent varier en fonction de vos besoins caloriques.",,"AppData",,"All",,"Bing",,""
"Blank",,"Vide",,"AppData",,"All",,"Bing",,""
"Set wallpaper",,"Définir le papier peint",,"AppData",,"All",,"Bing",,""
"Close all",,"Fermer tout",,"AppData",,"All",,"Bing",,""
"Albums",,"Albums",,"AppData",,"All",,"Bing",,""
"You haven\'t saved anything yet!",,"Vous n’avez encore rien enregistré",,"AppData",,"All",,"Bing",,""
