PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"ant",,"mier",,"Text",,"All",,"Office Online Group",,""
"input symbols",,"symbolen",,"Text",,"All",,"Office Online Group",,""
"blue book",,"blauw boek",,"Text",,"All",,"Office Online Group",,""
"foggy",,"mistig",,"Text",,"All",,"Office Online Group",,""
"vibration mode",,"trilstand",,"Text",,"All",,"Office Online Group",,""
"love letter",,"liefdesbrief",,"Text",,"All",,"Office Online Group",,""
"ship",,"schip",,"Text",,"All",,"Office Online Group",,""
"Tab for comment actions",,"Tabblad voor opmerkingenacties",,"Text",,"All",,"Office Online Group",,""
"FK",,"LK",,"Text",,"All",,"Office Online Group",,""
"N",,"N",,"Text",,"All",,"Office Online Group",,""
"Spanish (Peru)",,"Spaans (Peru)",,"Text",,"All",,"Office Online Group",,""
"Chat",,"Chatten",,"Text",,"All",,"Office Online Group",,""
"H",,"V",,"Text",,"All",,"Office Online Group",,""
"A",,"N",,"Text",,"All",,"Office Online Group",,""
"upside-down face",,"gezicht ondersteboven",,"Text",,"All",,"Office Online Group",,""
"pistol",,"pistool",,"Text",,"All",,"Office Online Group",,""
"pound banknote",,"pondbiljet",,"Text",,"All",,"Office Online Group",,""
"cat",,"kat",,"Text",,"All",,"Office Online Group",,""
"no littering",,"geen afval weggooien",,"Text",,"All",,"Office Online Group",,""
"jack-o-lantern",,"pompoenlantaarn",,"Text",,"All",,"Office Online Group",,""
"christmas tree",,"kerstboom",,"Text",,"All",,"Office Online Group",,""
"eagle",,"adelaar",,"Text",,"All",,"Office Online Group",,""
"monorail",,"monorail",,"Text",,"All",,"Office Online Group",,""
"monkey faces",,"apengezichten",,"Text",,"All",,"Office Online Group",,""
"I",,"H",,"Text",,"All",,"Office Online Group",,""
"T",,"T",,"Text",,"All",,"Office Online Group",,""
"B",,"N",,"Text",,"All",,"Office Online Group",,""
"C",,"M",,"Text",,"All",,"Office Online Group",,""
"isiZulu",,"isiZulu",,"Text",,"All",,"Office Online Group",,""
"R",,"R",,"Text",,"All",,"Office Online Group",,""
"C",,"C",,"Text",,"All",,"Office Online Group",,""
"arrow",,"pijl",,"Text",,"All",,"Office Online Group",,""
"mail",,"post",,"Text",,"All",,"Office Online Group",,""
"open hands",,"open handen",,"Text",,"All",,"Office Online Group",,""
"mouse face",,"muizengezicht",,"Text",,"All",,"Office Online Group",,""
"card index",,"kaartindex",,"Text",,"All",,"Office Online Group",,""
"crocodile",,"krokodil",,"Text",,"All",,"Office Online Group",,""
