PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"nl-nl",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Menu > Microsoft Teams > Alles weergeven",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Nadat u zich hebt aangemeld, wordt u naar uw vergadering geleid.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Afsluiten",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Opnieuw opstarten",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Er is iets verkeerd gegaan...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Hebt u problemen? Informeer ons erover.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Nieuwste versie downloaden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"U gebruikt een niet-ondersteunde versie van Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"U hebt de meest recente updates. Veel plezier.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Het lijkt of er een paar bestanden ontbreken; installeer Microsoft Teams opnieuw om het nogmaals te proberen.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Kan de installatie niet voltooien",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Even geduld. Er wordt verbinding gemaakt.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Verificatie mislukt",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Modern authentication failed here, but you'll still be able to sign in. Your status code is {0}.",,"Moderne authenticatie is mislukt, maar u kunt nog steeds aanmelden. Uw statuscode is {0}.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, we're having connection issues.",,"Er zijn verbindingsproblemen.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go ahead and log in.",,"U moet zich aanmelden.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Login to Microsoft Teams",,"Meld u aan bij Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There's a more permanent way to sign in to Microsoft Teams. If you're having trouble completing the process, talk to your IT admin.",,"Er is een meer permanente manier voor aanmelden bij Microsoft Teams. Als u problemen tijdens het proces ondervindt, neemt u contact op met uw IT-beheerder.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Let's get you up and running...",,"Aan de slag...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authenticate",,"Verifiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Please select a certificate to authenticate yourself to {0}",,"Selecteer een certificaat om uzelf te verifiëren bij {0}",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Select a certificate",,"Selecteer een certificaat",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We're sorry, but something went wrong. Please try again.",,"We konden u helaas niet aanmelden bij de vergadering",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You can also try clicking the original link you were sent.",,"Probeer in het browservenster op de knop 'Deelnemen via internet' te klikken. Als u het venster hebt gesloten, klikt u op de oorspronkelijke koppeling voor de vergadering die u hebt ontvangen.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Add to Dictionary",,"Toevoegen aan woordenboek",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy",,"Kopiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Email Address",,"E-mailadres kopiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Image",,"Afbeelding kopiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Image URL",,"Afbeeldings-URL kopiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy Link",,"Link kopiëren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Cut",,"Knippen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Inspect Element",,"Element inspecteren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open Link",,"Link openen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Paste",,"Plakken",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Yes, open in browser",,"Ja, openen in browser",,"Text",,"All",,"Microsoft Teams for Mac",,""
"No, cancel",,"Nee, annuleren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Want to open this link in a browser?",,"Wilt u deze koppeling openen in een browser?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open in browser",,"Openen in browser",,"Text",,"All",,"Microsoft Teams for Mac",,""
"OK",,"OK",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Cancel",,"Annuleren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open file {0}?",,"Bestand {0} openen?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Open File",,"Bestand openen",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Failed to register as chat app for Office",,"Kan de registratie als chat-app voor Office niet uitvoeren",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Enjoy using Teams!",,"Veel plezier met Teams.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"This message is shown on success registering as chat app for Office and when the app is all set up.",,"Dit bericht wordt weergegeven na registratie als chat-app voor Office en wanneer de app helemaal is ingesteld.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You're all set.",,"Helemaal klaar.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Title is shown on success registering as chat app for Office. Let's user know the app is all set up.",,"Titel wordt weergegeven na registratie als chat-app voor Office. Zo weet de gebruiker dat de app helemaal is ingesteld.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Failed to unregister as chat app for Office",,"Kan de registratie als chat-app voor Office niet ongedaan maken",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Username or password maybe incorrect",,"De gebruikersnaam of het wachtwoord zijn mogelijk onjuist",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Send a quick reply...",,"Een snel antwoord verzenden...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Send",,"Verzenden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"N/A",,"N.v.t.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Launching app",,"App starten",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Confidential. Do not distribute.",,"Vertrouwelijke informatie van Microsoft. Niet verspreiden.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Loading Microsoft Teams",,"Microsoft Teams laden",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, this is taking longer than we thought",,"Dit duurt langer dan verwacht",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There was a glitch, and we're recovering",,"Er is een probleem opgetreden. De gegevens worden hersteld.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"It looks like we can’t display your content right now. What would you like to do?",,"We kunnen uw inhoud momenteel niet weergeven. Wat wilt u doen?",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We’re having trouble displaying your content",,"We ondervinden problemen bij het weergeven van uw inhoud",,"Text",,"All",,"Microsoft Teams for Mac",,""
